id,pesq,stoi,si_sdr,seg_snr,dnsmos_ovrl,dnsmos_sig,dnsmos_bak,dnsmos_p808
p232_001,2.9273931980133057,0.8975500936664539,15.47172032853723,6.733600039753395,3.2277387815997756,3.621404923336535,3.897710496378899,3.3296437
p232_002,3.0598509311676025,0.9695381161308718,11.320451036501783,6.129611339524272,3.265372662848616,3.685854192038124,3.7962841283640563,3.5540118
p232_003,2.814328908920288,0.9717480747678747,6.731905337198364,1.7604617916646097,3.1064733114518814,3.5392237506699145,3.7671590733293576,3.7552884
p232_005,1.3285136222839355,0.8819304858468331,1.8555438983516335,-0.1901169080893389,2.4812116158334097,3.5323050300419347,2.509194980895876,2.8676624
p232_006,2.203033447265625,0.9651413216391278,16.8480830712985,10.562496228054815,2.9263649425141134,3.6519399740109657,3.223304778672164,3.7347214
p232_007,1.554511308670044,0.9369777054819446,11.809555561966931,6.133686511687676,2.66479622157048,3.63309285889231,2.7881842006353454,3.2308428
p232_009,1.803558588027954,0.9609422995191099,6.767634441712408,3.3064414251158483,2.8217940085492472,3.610369086927475,3.065800247494066,3.3819401
p232_010,1.2202141284942627,0.7849017849221813,0.882457654613439,-4.283127623209804,1.1564335502948944,1.3419430625720212,1.171862019797707,2.3283005
p232_011,2.7297232151031494,0.9652734611616782,16.80214515103785,9.71938196918787,3.032520939401004,3.7174248938177947,3.306781342018685,3.9406862
p232_012,2.0364441871643066,0.9653964698480075,11.903641835307738,5.9948459619318974,3.0122497924407554,3.659997419391925,3.442626334848224,3.5134583
p232_013,1.414161205291748,0.9443043186403421,6.802584067474546,0.8960505299074689,2.5385072494324294,3.5718953919584915,2.612068241360696,3.0053492
p232_014,1.2690951824188232,0.9107312550642165,1.9260599405486882,-1.323900090482235,2.727471607330522,3.5960652795383075,2.964566409392767,2.9577005
p232_015,3.633624315261841,0.9946448009763743,16.946927693589817,11.939687539955594,3.390865512627684,3.644764584141486,4.083176147515875,3.9378529
p232_016,3.362292528152466,0.9897930468649668,11.992319501695954,7.384904482074483,3.2842392604468396,3.6337636018234774,3.959700154754469,4.037488
